Region;R&D costs;R&D personnel
TR10;109071,7;125911
TR21;6860,73;7742
TR22;3145,15;4900
TR31;16881,76;22590
TR32;4437,94;7365
TR33;7906,48;9029
TR41;20048,46;21215
TR42;40018,67;32197
TR51;112200,72;77080
TR52;5842,09;8852
TR61;6704,87;10094
TR62;5572,95;7499
TR63;2881,22;4191
TR71;2714,23;5153
TR72;5813,66;8700
TR81;1885,45;3354
TR82;1018,44;2122
TR83;3858,01;6869
TR90;3537,75;7699
TRA1;3284,66;4884
TRA2;1165,13;1923
TRB1;4219,78;5666
TRB2;1926,11;2817
TRC1;3026,23;4214
TRC2;2474,19;3225
TRC3;1045,89;1876
